date,Mkt-RF,SMB,HML,RMW,CMA,return,return_t-1,return_t-2,return_t-3,return_t-4,return_t-5,return_t-6,return_t-7,return5D,return5D_t-1,return5D_t-2,return5D_t-3,return5D_t-4,return5D_t-5,return5D_t-6,return5D_t-7,MOM1D,MOM1D_t-1,MOM1D_t-2,MOM1D_t-3,MOM1D_t-4,MOM1D_t-5,MOM1D_t-6,MOM1D_t-7,MOM5D,MOM5D_t-1,MOM5D_t-2,MOM5D_t-3,MOM5D_t-4,MOM5D_t-5,MOM5D_t-6,MOM5D_t-7,sma_7D,sma_14D,sma_21D,EWM7D,EWM14D,EWM21D,STD7D,STD14D,STD21D,return_sign
2015-06-18,0.99,0.16,-0.43,-0.13,-0.16,0.01940999751297155,-0.0015969744936346142,0.0076719172399593765,0.004240528786814461,-0.0124162243749599,0.012331237335432238,0.02512824753518294,0.009192448184164143,0.01730924467115094,0.010230484493611415,0.03695570652242912,0.038476237466633874,0.03195159980660243,0.04463110910124538,0.026000087171923997,0.007083854888405042,2.3299999999999983,-0.18999999999999773,0.9099999999999966,0.5,-1.4699999999999989,1.4599999999999935,2.9200000000000017,1.0499999999999972,2.0799999999999983,1.2099999999999935,4.319999999999993,4.459999999999994,3.700000000000003,5.199999999999988,3.019999999999996,0.8100000000000023,118.82571428571423,116.48500000000004,114.82095238095242,118.6274628449356,117.21255297478059,116.50304750175751,1.2232314736368184,2.5814240256106564,3.2492305316211456,-1.0
2015-06-19,-0.43,0.52,-0.2,0.07,-0.05,-0.011700892801071656,0.01940999751297155,-0.0015969744936346142,0.0076719172399593765,0.004240528786814461,-0.0124162243749599,0.012331237335432238,0.02512824753518294,0.018024576245039132,0.01730924467115094,0.010230484493611415,0.03695570652242912,0.038476237466633874,0.03195159980660243,0.04463110910124538,0.026000087171923997,-1.4099999999999966,2.3299999999999983,-0.18999999999999773,0.9099999999999966,0.5,-1.4699999999999989,1.4599999999999935,2.9200000000000017,2.140000000000001,2.0799999999999983,1.2099999999999935,4.319999999999993,4.459999999999994,3.700000000000003,5.199999999999988,3.019999999999996,119.12999999999997,116.89357142857145,115.27952380952385,118.92112096302485,117.57302024262091,116.84474684458195,1.1505940494662528,2.6238099343185093,3.239548542915313,1.0
2015-06-22,0.63,0.09,-0.06,-0.16,-0.24,0.01400826918530175,-0.011700892801071656,0.01940999751297155,-0.0015969744936346142,0.0076719172399593765,0.004240528786814461,-0.0124162243749599,0.012331237335432238,0.02779231664352646,0.018024576245039132,0.01730924467115094,0.010230484493611415,0.03695570652242912,0.038476237466633874,0.03195159980660243,0.04463110910124538,1.6899999999999975,-1.4099999999999966,2.3299999999999983,-0.18999999999999773,0.9099999999999966,0.5,-1.4699999999999989,1.4599999999999935,3.3299999999999983,2.140000000000001,2.0799999999999983,1.2099999999999935,4.319999999999993,4.459999999999994,3.700000000000003,5.199999999999988,119.46714285714279,117.43285714285715,115.76857142857145,119.56420107022907,118.11546574827408,117.32013281545156,1.45585844419172,2.7432278252268474,3.3686885960478437,1.0
2015-06-23,0.12,0.24,0.27,-0.08,0.0,0.005908921583258498,0.01400826918530175,-0.011700892801071656,0.01940999751297155,-0.0015969744936346142,0.0076719172399593765,0.004240528786814461,-0.0124162243749599,0.02602932098682553,0.02779231664352646,0.018024576245039132,0.01730924467115094,0.010230484493611415,0.03695570652242912,0.038476237466633874,0.03195159980660243,0.7199999999999989,1.6899999999999975,-1.4099999999999966,2.3299999999999983,-0.18999999999999773,0.9099999999999966,0.5,-1.4699999999999989,3.140000000000001,3.3299999999999983,2.140000000000001,2.0799999999999983,1.2099999999999935,4.319999999999993,4.459999999999994,3.700000000000003,120.1171428571428,117.97285714285715,116.26857142857145,120.22631516217642,118.67959343722526,117.81489747365593,1.5284601650651797,2.8932718465470715,3.51234435344013,-1.0
2015-06-24,-0.79,-0.14,0.13,0.18,-0.01,-0.001637867862666239,0.005908921583258498,0.01400826918530175,-0.011700892801071656,0.01940999751297155,-0.0015969744936346142,0.0076719172399593765,0.004240528786814461,0.025988427617793974,0.02602932098682553,0.02779231664352646,0.018024576245039132,0.01730924467115094,0.010230484493611415,0.03695570652242912,0.038476237466633874,-0.19999999999998866,0.7199999999999989,1.6899999999999975,-1.4099999999999966,2.3299999999999983,-0.18999999999999773,0.9099999999999966,0.5,3.1300000000000097,3.140000000000001,3.3299999999999983,2.140000000000001,2.0799999999999983,1.2099999999999935,4.319999999999993,4.459999999999994,120.6671428571428,118.55000000000004,116.85142857142858,120.67257219944638,119.13641342783221,118.23504870817122,1.393565143624249,2.8299741776478733,3.3935943860666025,-1.0
2015-06-25,-0.25,0.33,-0.2,0.18,-0.08,-0.01469643360042512,-0.001637867862666239,0.005908921583258498,0.01400826918530175,-0.011700892801071656,0.01940999751297155,-0.0015969744936346142,0.0076719172399593765,-0.008118003495602804,0.025988427617793974,0.02602932098682553,0.02779231664352646,0.018024576245039132,0.01730924467115094,0.010230484493611415,0.03695570652242912,-1.7800000000000011,-0.19999999999998866,0.7199999999999989,1.6899999999999975,-1.4099999999999966,2.3299999999999983,-0.18999999999999773,0.9099999999999966,-0.9799999999999898,3.1300000000000097,3.140000000000001,3.3299999999999983,2.140000000000001,2.0799999999999983,1.2099999999999935,4.319999999999993,120.8328571428571,118.99785714285716,117.22142857142862,120.56186666654136,119.28584401533121,118.4330186763583,1.2315398800652622,2.527693319309801,3.3134940556975114,-1.0
2015-06-26,-0.06,-0.19,0.45,0.32,0.35,-0.006090203615252435,-0.01469643360042512,-0.001637867862666239,0.005908921583258498,0.01400826918530175,-0.011700892801071656,0.01940999751297155,-0.0015969744936346142,-0.002507314309783607,-0.008118003495602804,0.025988427617793974,0.02602932098682553,0.02779231664352646,0.018024576245039132,0.01730924467115094,0.010230484493611415,-0.730000000000004,-1.7800000000000011,-0.19999999999998866,0.7199999999999989,1.6899999999999975,-1.4099999999999966,2.3299999999999983,-0.18999999999999773,-0.2999999999999972,-0.9799999999999898,3.1300000000000097,3.140000000000001,3.3299999999999983,2.140000000000001,2.0799999999999983,1.2099999999999935,120.92142857142855,119.41214285714287,117.53809523809531,120.29628757876564,119.31501033941679,118.538026751313,1.080747096093705,2.0161279666781686,3.1903097326867904,-1.0
2015-06-29,-2.15,-0.41,0.18,0.31,0.1,-0.03439222173877792,-0.006090203615252435,-0.01469643360042512,-0.001637867862666239,0.005908921583258498,0.01400826918530175,-0.011700892801071656,0.01940999751297155,-0.050907805233863235,-0.002507314309783607,-0.008118003495602804,0.025988427617793974,0.02602932098682553,0.02779231664352646,0.018024576245039132,0.01730924467115094,-4.040000000000006,-0.730000000000004,-1.7800000000000011,-0.19999999999998866,0.7199999999999989,1.6899999999999975,-1.4099999999999966,2.3299999999999983,-6.030000000000001,-0.2999999999999972,-0.9799999999999898,3.1300000000000097,3.140000000000001,3.3299999999999983,2.140000000000001,2.0799999999999983,120.09999999999997,119.46285714285715,117.69000000000004,119.08683170690522,118.79148547535341,118.2373566668047,2.3104400735214714,1.8951331537202185,2.9970201867855115,1.0
2015-06-30,0.33,0.3,-0.67,-0.31,-0.63,0.013933312190897513,-0.03439222173877792,-0.006090203615252435,-0.01469643360042512,-0.001637867862666239,0.005908921583258498,0.01400826918530175,-0.011700892801071656,-0.04288341462622403,-0.050907805233863235,-0.002507314309783607,-0.008118003495602804,0.025988427617793974,0.02602932098682553,0.02779231664352646,0.018024576245039132,1.6200000000000043,-4.040000000000006,-0.730000000000004,-1.7800000000000011,-0.19999999999998866,0.7199999999999989,1.6899999999999975,-1.4099999999999966,-5.129999999999996,-6.030000000000001,-0.2999999999999972,-0.9799999999999898,3.1300000000000097,3.140000000000001,3.3299999999999983,2.140000000000001,119.71142857142854,119.4207142857143,117.83285714285721,118.58500429032696,118.55963210275264,118.12506353152662,2.5820626675292258,1.9439985133173567,2.885775706559899,-1.0
2015-07-01,0.6,-0.75,-0.06,0.19,0.07,-0.009181067536369606,0.013933312190897513,-0.03439222173877792,-0.006090203615252435,-0.01469643360042512,-0.001637867862666239,0.005908921583258498,0.01400826918530175,-0.05042661429992749,-0.04288341462622403,-0.050907805233863235,-0.002507314309783607,-0.008118003495602804,0.025988427617793974,0.02602932098682553,0.02779231664352646,-1.0699999999999932,1.6200000000000043,-4.040000000000006,-0.730000000000004,-1.7800000000000011,-0.19999999999998866,0.7199999999999989,1.6899999999999975,-6.0,-5.129999999999996,-6.030000000000001,-0.2999999999999972,-0.9799999999999898,3.1300000000000097,3.140000000000001,3.3299999999999983,118.92857142857142,119.19785714285715,117.93142857142864,117.94113823479923,118.21497188171931,117.92109594113491,2.7763731051586085,2.148019404623068,2.779554435002616,-1.0
